Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002374 Stratagene PCR 4	0.432	0.688	-0.435	-0.581	0.608
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001823 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100972 Reg3a ProximalPromoter	-0.44	-0.317	0.333	0.292	-0.388
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101812 Rab6 ProximalPromoter	-0.137	-0.163	-0.434	0.012	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102573 Rrm2 ProximalPromoter	-0.27	-0.297	0.252	0.331	-0.394
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103695 Nfx1 ProximalPromoter	-0.359	-0.252	0.289	0.338	-0.339
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104349 Rnf151 DistalPromoter	-0.074	-0.282	-0.064	0.025	-0.272
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107080 Neurog2 DistalPromoter	-0.095	0.177	0.042	0.005	-0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105351 Cstf1 DistalPromoter	-0.201	-0.132	0.099	0.194	-0.209
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106190 Ndufa10 DistalPromoter	-0.362	-0.358	0.344	0.294	-0.277
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203512 Slc26a8 ProximalPromoter	-0.312	-0.019	0.162	0.102	-0.161
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202807 Qpctl ProximalPromoter	-0.152	-0.117	0.031	-0.307	0.096
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202113 RP23-143A14.5 ProximalPromoter	-0.072	0.026	0.099	-0.156	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201300 Stch ProximalPromoter	-0.012	0.051	-0.113	0.084	0.271
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205263 Cdc42 ProximalPromoter	0.034	0.193	-0.127	-0.261	-0.082
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205531 Il6ra ProximalPromoter	-0.049	0.191	0.04	-0.083	-0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206087 Map2k7 ProximalPromoter	-0.002	0.154	-0.014	-0.226	0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200531 4930583K01Rik ProximalPromoter	-0.019	0.336	-0.337	-0.383	0.002
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210606 Ttc12 ProximalPromoter	-0.213	0.068	0.049	-0.211	-0.236
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207958 1700129C05Rik ProximalPromoter	-0.034	0.069	-0.096	-0.214	0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208712 Tmem101 ProximalPromoter	0.019	0.179	0.003	-0.187	-0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209172 Ftcd ProximalPromoter	-0.079	0.208	-0.325	-0.13	-0.101
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002350 Stratagene PCR 2	0.065	0.323	-0.135	-0.221	0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.084	0.114	-0.116	-0.146	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100666 Atox1 ProximalPromoter	-0.191	-0.133	0.251	0.007	-0.185
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101788 Zfp289 ProximalPromoter	-0.108	-0.227	0.113	0.189	-0.273
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102549 Aldh1a2 ProximalPromoter	-0.378	-0.314	0.255	0.36	-0.362
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103671 Rprm ProximalPromoter	-0.2	-0.129	0.19	0.063	-0.26
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104415 Pik3ca DistalPromoter	-0.037	-0.043	0.046	0.043	-0.124
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107059 Zfpm1 DistalPromoter	-0.142	-0.082	-0.012	0.018	-0.167
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105327 Ctnnbip1 DistalPromoter	0.123	0.014	-0.069	-0.102	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106168 Fbxo9 DistalPromoter	-0.143	0.006	0.145	-0.088	-0.218
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001176 Blank	-0.029	0.049	-0.103	-0.104	-0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202783 C030019I05Rik ProximalPromoter	0.014	-0.069	0.032	-0.161	0.014
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202087 Tnpo3 ProximalPromoter	-0.058	-0.044	0.068	0.018	-0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201276 AU021034 ProximalPromoter	-0.107	0.054	-0.058	-0.101	0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205331 Ddt ProximalPromoter	-0.127	0.137	-0.072	-0.18	-0.211
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205507 Hspd1 ProximalPromoter	-0.134	0.122	-0.071	-0.207	0.128
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206062 Spry4 ProximalPromoter	-0.03	0.21	-0.054	-0.009	0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200507 4921509E07Rik ProximalPromoter	-0.008	0.105	0.034	-0.211	-0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207867 4921537P18Rik ProximalPromoter	-0.072	0.015	-0.147	-0.132	0.311
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207933 Rab32 ProximalPromoter	0.04	0.338	-0.198	-0.097	0.175
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208688 Tgds ProximalPromoter	0.044	-0.029	-0.107	-0.121	-0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209147 Prnpip1 ProximalPromoter	0.304	0.57	-0.392	-0.265	0.047
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002416 Stratagene PCR 7	0.1	0.281	-0.212	-0.285	0.07
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.04	0.125	-0.111	-0.166	0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100642 Akt1 ProximalPromoter	0.214	0.617	1.334	0.213	-0.131
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101764 Ssna1 ProximalPromoter	-0.325	-0.439	0.106	0.437	-0.345
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102525 Prkg2 ProximalPromoter	-0.45	-0.427	0.319	0.344	-0.437
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103365 Lyzs ProximalPromoter	-0.081	-0.093	0.096	0.088	-0.22
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104391 Notch1 DistalPromoter	-0.2	-0.086	0.33	0.318	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107037 Dpysl3 DistalPromoter	-0.216	-0.127	-0.063	0.195	-0.183
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105303 Arpc1b DistalPromoter	-0.046	-0.124	0.147	-0.063	-0.455
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106225 Tmem54 DistalPromoter	0.115	0.199	-0.185	-0.14	-0.053
