Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103917 Cab39l ProximalPromoter	-0.012	-0.045	0.169	-0.186	0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104655 Dazap1 DistalPromoter	-0.285	-0.325	0.361	0.393	-0.415
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105021 Nucb2 DistalPromoter	-0.327	-0.505	0.455	0.246	-0.117
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105477 Trappc6a DistalPromoter	0.136	0.092	-0.026	-0.06	0.002
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001044 Blank	-0.119	0.043	-0.068	-0.063	0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203445 Ubadc1 ProximalPromoter	0.026	0.028	0.342	0.193	0.34
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201860 B130050K08 ProximalPromoter	-0.111	-0.217	0.094	0.081	-0.1
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203973 BC060632 ProximalPromoter	0.058	-0.108	-0.469	-0.194	0.104
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203270 Il13ra2 ProximalPromoter	0.093	0.108	0.263	0.423	0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204893 Bex1 ProximalPromoter	0.018	0.118	0.081	0.081	0.088
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206334 Znhit2 ProximalPromoter	-0.102	0.114	0.044	0.065	-0.007
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201160  ProximalPromoter	0.102	0.249	-0.121	-0.252	0.124
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209293 Tmem97 ProximalPromoter	0.033	-0.095	0.263	-0.11	0.066
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209664 Ppp1r1b ProximalPromoter	0.264	0.267	0.207	0.077	0.243
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208756 Tmem116 ProximalPromoter	0.085	0.243	-0.036	0.022	0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209123 1110038F14Rik ProximalPromoter	-0.006	-0.055	0.025	-0.229	-0.334
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209881 Hrbl ProximalPromoter	0.095	0.194	-0.256	0.019	0.033
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.026	0.117	-0.057	0.027	0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100420 Serpinf2 ProximalPromoter	0.147	0.493	0.755	0.899	-0.067
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101170 Clu ProximalPromoter	0.029	-0.015	0.049	0.068	0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102010 1110008F13Rik ProximalPromoter	0.004	-0.029	0.072	0.126	0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103143 Pcbp1 ProximalPromoter	-0.354	-0.413	0.307	0.207	-0.419
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103893 2810417H13Rik ProximalPromoter	-0.236	-0.405	0.141	0.131	-0.326
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104631 Csnk2b DistalPromoter	-0.154	-0.313	0.392	0.478	0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105087 Ccnl2 DistalPromoter	0.039	0.146	-0.135	0.351	0.407
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105453 Mrpl33 DistalPromoter	-0.173	-0.363	0.182	-0.001	-0.279
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000948 Blank	0.067	0.023	-0.04	-0.037	0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203420 Strn ProximalPromoter	-0.024	-0.052	0.038	0.012	-0.061
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202331 D930040M24Rik ProximalPromoter	0.071	-0.205	-0.133	0.111	0.301
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203949 Fign ProximalPromoter	0.089	-0.024	-0.044	-0.02	-0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203246 Stat5a ProximalPromoter	0.18	0.253	0.024	0.031	0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204868 Rab7 ProximalPromoter	-0.035	0.111	-0.05	0.047	0.265
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206402 Dmrt1 ProximalPromoter	-0.111	0.093	0.084	-0.201	0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201136 Zcchc8 ProximalPromoter	-0.149	0.139	-0.229	-0.083	0.075
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209269 Mat1a ProximalPromoter	-0.197	0.167	0.43	-0.057	-0.206
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209640 Jmjd2c ProximalPromoter	0.111	0.378	-0.142	-0.203	0.195
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207674 Crnkl1 ProximalPromoter	0.21	0.492	-0.271	-0.18	0.176
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209097 Rad51c ProximalPromoter	0.082	0.089	-0.035	-0.058	-0.033
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209857 P2rx3 ProximalPromoter	0.043	0.492	0.05	0.002	-0.194
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	-0.002	0.14	-0.036	0.004	0.014
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100396 Pcx ProximalPromoter	-0.165	-0.395	-0.496	-0.101	-0.315
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101236 Ihpk1 ProximalPromoter	-0.009	-0.042	0.012	-0.039	-0.078
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101986 Rpl14 ProximalPromoter	-0.127	-0.225	0.238	0.046	-0.174
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103119 Xlr3a ProximalPromoter	0.16	-0.36	0.43	-0.246	-0.475
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103869 Gadd45gip1 ProximalPromoter	0.072	-0.076	0.077	0.011	-0.077
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104517 Ss18 DistalPromoter	-0.068	-0.079	0.001	-0.057	-0.05
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105063 Copg DistalPromoter	-0.082	0.096	-0.069	0.081	0.075
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105429 2410022L05Rik DistalPromoter	-0.134	0.148	0.425	0.067	-0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000852 Blank	0.034	0.025	-0.034	-0.114	0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203487 Lyzl4 ProximalPromoter	0.012	-0.218	-0.007	0.011	-0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202307 Slc25a15 ProximalPromoter	0.447	0.148	0.419	0.54	0.267
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203925 1500009M05Rik ProximalPromoter	0.063	-0.257	-0.258	-0.327	0.213
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203222 Smyd4 ProximalPromoter	0.041	0.608	-0.158	-0.287	0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204850 Ptpn14 ProximalPromoter	-0.17	0.177	-0.037	0.268	0.125
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206377 Greb1 ProximalPromoter	-0.226	-0.235	0.246	0.282	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201112 Arl6ip2 ProximalPromoter	-0.246	-0.133	-0.195	0.096	-0.168
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209245 Mlc1 ProximalPromoter	-0.012	0.175	-0.012	-0.141	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209706 Msto1 ProximalPromoter	-0.087	-0.055	-0.119	-0.029	0.105
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207650 4933425L06Rik ProximalPromoter	-0.026	0.096	0.074	-0.127	0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209073 Ric8 ProximalPromoter	0.088	0.205	0.058	0.07	0.01
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209833 Pim3 ProximalPromoter	-0.136	0.322	-0.241	-0.232	0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.015	0.117	-0.065	0.02	-0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100090 Cd36 ProximalPromoter	0.042	-0.173	0.279	-0.032	0.26
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101212 Tcf4 ProximalPromoter	-0.167	-0.531	0.343	0.253	-0.317
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101962 Cdk5rap1 ProximalPromoter	0.085	0.279	-0.077	-0.09	0.084
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103095  ProximalPromoter	0.011	0.044	0.036	0.058	-0.087
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103935  ProximalPromoter	0.172	0.098	-0.119	-0.244	0.163
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104493 Stil DistalPromoter	-0.091	-0.151	0.048	0.157	-0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105039 Sart1 DistalPromoter	-0.227	-0.114	0.151	0.219	-0.259
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105405 Sc4mol DistalPromoter	-0.038	0.062	0.222	0.107	0.054
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106406 Zfhx4 DistalPromoter	0.136	0.192	1.088	-0.392	-0.032
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203463 Gpr84 ProximalPromoter	-0.008	0.058	0.022	0.06	0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202283 Rnf185 ProximalPromoter	0.008	0.089	-0.038	-0.026	-0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203901 Zfp715 ProximalPromoter	-0.042	0.123	-0.08	-0.049	0.059
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203289 Myd88 ProximalPromoter	0.097	-0.024	-0.064	0.18	-0.031
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204826 Map2k1 ProximalPromoter	0.019	-0.004	0.019	-0.048	-0.071
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206353 Zfp238 ProximalPromoter	-0.032	0.03	-0.05	-0.076	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201088 Prei4 ProximalPromoter	-0.182	-0.356	0.315	0.023	-0.16
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200482 Rrm2b ProximalPromoter	-0.224	-0.394	-0.157	0.071	-0.182
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209682 BC011248 ProximalPromoter	-0.238	0.184	-0.166	0.244	0.131
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207626 Tceal8 ProximalPromoter	0.12	0.215	-0.009	0.105	0.047
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209049 Pcdhb15 ProximalPromoter	0.065	0.271	-0.175	-0.183	0.06
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209899 Txnl6 ProximalPromoter	-0.015	-0.061	-0.076	-0.011	0.054
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001703 Blank	0.026	0.114	0.004	-0.018	0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100066 Calr ProximalPromoter	0.147	-0.154	0.228	-0.029	0.08
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101188 Matn4 ProximalPromoter	-0.249	-0.283	0.116	0.201	-0.274
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101938 Mrpl33 ProximalPromoter	0.174	-0.006	0.008	-0.026	0.224
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102789 Ebf2 ProximalPromoter	-0.281	-0.357	0.204	0.059	-0.135
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103911 Vps53 ProximalPromoter	0.028	0.071	-0.071	-0.004	0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104469 Rps15 DistalPromoter	-0.015	0.068	-0.023	-0.141	0.129
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105015 Gpiap1 DistalPromoter	0.226	0.03	0.089	-0.091	-0.056
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105471 Aip DistalPromoter	0.022	-0.076	0.038	0.15	-0.108
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106384 Pacsin3 DistalPromoter	-0.136	-0.193	-0.088	-0.041	-0.226
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203438 Msrb2 ProximalPromoter	-0.048	0.066	-0.024	0.037	-0.17
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202259 Tnrc6b ProximalPromoter	-0.265	-0.188	0.224	0.221	-0.265
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202523 4930562D19Rik ProximalPromoter	0.106	0.076	-0.096	-0.15	-0.015
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203264 Wdr21 ProximalPromoter	-0.034	0.172	-0.129	-0.212	0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204802 Plxna1 ProximalPromoter	0.166	0.386	-0.212	-0.393	0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206328 Vps45 ProximalPromoter	-0.117	-0.046	0.32	-0.082	-0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201154 Mcoln1 ProximalPromoter	0.069	0.245	-0.083	0.079	0.177
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200458  ProximalPromoter	0.001	0.086	-0.085	-0.122	0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209658 Camk1g ProximalPromoter	-0.11	-0.193	-0.057	-0.2	-0.128
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207602 Tmigd1 ProximalPromoter	0.81	0.457	0.583	0.442	0.678
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207578 Myo1e ProximalPromoter	0.063	0.284	-0.038	-0.009	0.099
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209875 Yipf1 ProximalPromoter	-0.032	0.115	-0.028	0.148	0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001703 Blank	0.057	0.092	-0.034	0.001	0.002
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100042 Atp5a1 ProximalPromoter	0.002	-0.146	-0.169	-0.111	0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101164 Cfd ProximalPromoter	0.165	-0.064	0.117	-0.045	0.11
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102004 3110031B13Rik ProximalPromoter	-0.145	-0.166	0.188	0.194	-0.071
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102765 Cyp1a2 ProximalPromoter	-0.122	-0.255	0.179	0.235	-0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103887 Snx9 ProximalPromoter	0.085	0.084	-0.306	0.15	0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104445 Ptk9 DistalPromoter	-0.164	0.066	0.124	-0.089	-0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104901 Exo1 DistalPromoter	-0.06	0.021	-0.066	-0.212	0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105447 4432406C05Rik DistalPromoter	0.079	-0.151	-0.061	0.101	-0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105570 Nola2 DistalPromoter	-0.099	-0.063	0.005	0.199	-0.254
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203413  ProximalPromoter	-0.124	-0.065	0.078	0.182	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202325 D930016N04Rik ProximalPromoter	0.031	0.118	0.196	0.039	0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202499 Cd109 ProximalPromoter	-0.107	-0.067	0.295	0.225	0.078
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203240 Rem2 ProximalPromoter	-0.175	-0.113	0.043	0.023	0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204777 Pde9a ProximalPromoter	-0.179	-0.192	0.154	-0.025	-0.023
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206898 Scube2 ProximalPromoter	-0.007	0.042	-0.113	0.034	0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201130 6430510M02Rik ProximalPromoter	0.173	-0.151	0.47	0.149	0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200433 1500009M05Rik ProximalPromoter	-0.068	0.072	-0.14	0.037	0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209633 Ccdc52 ProximalPromoter	0.107	-0.228	0.317	0.184	0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207668 Cyb5 ProximalPromoter	0.211	0.067	-0.318	-0.212	-0.042
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207554 1810046J19Rik ProximalPromoter	0.018	0.202	-0.02	0.05	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209851 Wdr26 ProximalPromoter	0.242	0.134	0.068	0.164	0.398
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001607 Blank	-0.007	0.081	-0.043	0.011	0.015
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100018 Ambp ProximalPromoter	-0.019	0.008	-0.13	-0.165	0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100858 Klk1b4 ProximalPromoter	-0.309	-0.166	-0.112	0.079	-0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101980 Trappc6a ProximalPromoter	-0.021	0.072	-0.065	0.003	0.02
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102741 Cdyl ProximalPromoter	-0.016	-0.094	0.367	0.308	0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103863 Ubl4b ProximalPromoter	-0.275	-0.22	-0.187	0.498	-0.191
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104511 Serpinb6a DistalPromoter	-0.155	-0.302	0.204	0.053	-0.531
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104877 Mrps12 DistalPromoter	-0.025	-0.135	-0.074	-0.049	-0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105423 2310010I16Rik DistalPromoter	0.215	-0.126	0.166	-0.024	0.063
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106342 Dcxr DistalPromoter	-0.176	-0.255	0.231	-0.21	-0.34
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203687 4930572J05Rik ProximalPromoter	-0.019	0.04	0.208	0.054	0.007
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202301 Pkhd1 ProximalPromoter	-0.104	-0.123	0.263	0.28	-0.285
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202475 D930018N13 ProximalPromoter	0.146	0.034	-0.145	-0.067	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203216 Exosc4 ProximalPromoter	0.034	-0.02	-0.052	-0.002	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204844 Pter ProximalPromoter	-0.035	0.089	-0.362	-0.201	-0.047
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206874 Prlpm ProximalPromoter	0.217	-0.276	-0.078	0.033	-0.169
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201106 Pstpip2 ProximalPromoter	-0.091	-0.233	0.144	0.017	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200409 Lims2 ProximalPromoter	-0.139	-0.057	-0.008	-0.046	0.01
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209518 H1foo ProximalPromoter	-0.267	-0.265	0.142	0.049	-0.187
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207644  ProximalPromoter	-0.005	0.542	-0.498	-0.128	-0.169
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207530 Mrpl37 ProximalPromoter	-0.063	0.257	-0.135	-0.292	0.218
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209827 Itgbl1 ProximalPromoter	-0.178	0.181	0.051	0.122	0.08
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001883 Blank	0.032	0.1	0.006	-0.08	0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100084 Ccnb1 ProximalPromoter	0.133	0.022	-0.091	-0.128	0.103
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100834 Iapp ProximalPromoter	-0.012	-0.186	-0.102	-0.147	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101956 1700022L09Rik ProximalPromoter	0.053	0.014	0.039	0.015	0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102717 C4b ProximalPromoter	0.094	0.009	0.131	0.314	0.18
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103557 Cyp2e1 ProximalPromoter	-0.167	-0.165	0.312	0.188	-0.264
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104487 Sema3a DistalPromoter	0.101	0.108	-0.143	-0.205	0.116
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104853 Ercc5 DistalPromoter	-0.09	-0.135	0.032	-0.051	-0.143
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105399 Ier3ip1 DistalPromoter	-0.165	-0.139	0.314	0.147	-0.128
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106398 Rabep2 DistalPromoter	0.341	-0.156	0.227	0.092	-0.205
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203663 Stam ProximalPromoter	0.104	-0.127	0.074	0.075	0.093
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202277 Dll4 ProximalPromoter	0.159	-0.088	-0.08	-0.026	-0.059
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202451 Nags ProximalPromoter	0.16	0.072	-0.1	-0.206	-0.044
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205239 Casq1 ProximalPromoter	-0.044	-0.285	0.165	-0.135	-0.116
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204820 RP23-136K12.4 ProximalPromoter	-0.043	0.108	-0.202	-0.068	0.015
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206849 Clcf1 ProximalPromoter	0.064	-0.014	-0.131	-0.14	0.112
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201082 Ncl ProximalPromoter	-0.062	0.224	0.117	-0.048	-0.066
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200476 Sema3b ProximalPromoter	-0.106	-0.219	-0.208	-0.172	-0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209493 Wdr74 ProximalPromoter	-0.195	-0.086	-0.05	0.017	-0.084
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207620 Ccdc72 ProximalPromoter	0.144	-0.297	-0.059	-0.299	0.116
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207506 Tm4sf20 ProximalPromoter	0.023	0.189	-0.127	-0.164	0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210003 Gmds ProximalPromoter	-0.084	0.001	-0.172	-0.116	-0.11
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001787 Blank	-0.008	0.005	0.018	-0.056	0.015
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100060 Btg2 ProximalPromoter	0.115	-0.1	0.521	0.311	0.248
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100810 Gusb ProximalPromoter	-0.034	-0.233	0.072	0.098	0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101932 Grtp1 ProximalPromoter	0.174	0.162	-0.146	-0.288	0.15
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102783 Dgcr2 ProximalPromoter	-0.069	-0.478	0.366	-0.067	-0.212
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103533 Bcam ProximalPromoter	0.054	0.194	-0.112	-0.13	-0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104463 Rpl12 DistalPromoter	-0.088	-0.147	0.152	0.085	-0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104829 Hsp90b1 DistalPromoter	0.031	-0.149	0.257	0.191	0.1
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105757 Syk DistalPromoter	0.122	0.189	-0.093	-0.147	0.098
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106376 F11 DistalPromoter	0.381	0.253	0.149	0	-0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203639 Ctla4 ProximalPromoter	0.086	-0.032	-0.081	0	0.178
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202253 5730596B20Rik ProximalPromoter	-0.052	0.018	0.032	-0.1	-0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202517 Ralgps1 ProximalPromoter	-0.05	0.095	-0.102	-0.341	0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205215 Bnip3l ProximalPromoter	-0.02	0.148	0.172	-0.05	0.072
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204796 Csh1 ProximalPromoter	-0.127	0.193	-0.133	-0.146	-0.014
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206825 Sult1b1 ProximalPromoter	-0.094	0.003	-0.093	-0.062	-0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206995 Clec5a ProximalPromoter	0.03	-0.03	-0.066	-0.018	-0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200452 D130059P03Rik ProximalPromoter	-0.101	-0.078	0.131	0.135	-0.008
